-37.8167,145.1,1
-37.8167,145.1667,11
-37.8167,145.2,2
-37.8149,144.9505,1
-37.814,144.9633,289
-37.8117,145.081,3
-37.8103,144.9544,1347
-37.8064,145.0309,44
-37.8,144.9,12
-37.8,144.9667,27
-37.8,144.9833,36
-37.8,145.0,18
-37.8,145.2333,1
-37.8,145.2833,11
-37.8,145.3167,1
-37.7984,144.9783,1
-37.7976,145.0538,2
-37.7974,175.2604,60
-37.7961,175.3088,24
-37.7924,144.7699,1
-37.7909,145.0939,2
-37.7904,144.9975,12
-37.7883,145.1237,34
-37.7876,145.1489,4
-37.7849,175.276,4
-37.7833,144.8833,47
-37.7833,144.9167,1
-37.7833,144.9333,6
-37.7833,144.9667,476
-37.7833,145.3,1
-37.7833,145.3833,12
-37.7833,175.2833,12
-37.7804,145.0309,1
-37.7803,144.8735,1
-37.7798,145.0176,26
-37.7725,144.9724,3
-37.7709,175.2985,10
-37.769,145.0431,7
-37.7667,144.8333,1
-37.7667,144.9167,10
-37.7667,144.9667,35
-37.7667,145.0,188
-37.7667,145.0833,1
-37.7667,145.1167,3
-37.761,175.2474,74
-37.7603,144.9502,22
-37.7596,144.8974,132
-37.7593,144.7878,5
-37.7531,145.0385,2
-37.75,144.9667,3
-37.75,145.0,5
-37.75,145.0167,3
-37.75,145.0333,29
-37.75,145.0667,1
-37.75,145.1167,3
-37.75,145.2333,3
-37.7464,145.0771,12
-37.7463,175.2707,80
-37.745,144.74,6
-37.7411,176.2216,5
-37.74,176.3135,1
-37.7333,144.9333,14
-37.7333,145.1167,1
-37.7333,145.15,3
-37.7273,176.1538,99
-37.7247,144.8813,1
-37.7167,144.8333,13
-37.7167,145.0,1
-37.7167,145.0833,2
-37.7146,176.3294,25
-37.7099,144.7548,1
-37.7077,144.5749,1
-37.7073,144.9416,11
-37.7046,145.103,1
-37.7013,144.881,2
-37.7,144.7667,15
-37.7,144.9333,8
-37.6986,144.7863,9
-37.6982,145.0597,1
-37.6861,176.1667,24
-37.6834,144.5854,43
-37.6833,144.95,165
-37.6802,144.9188,1
-37.6727,144.4383,1
-37.6696,144.8868,1
-37.6686,176.2664,110
-37.6667,145.0667,44
-37.6581,144.4434,13
-37.6536,176.2044,41
-37.65,145.0333,140
-37.65,145.1,27
-37.6416,145.1941,8
-37.6333,144.8667,1
-37.6246,143.8789,5
-37.6007,145.0956,12
-37.6,144.95,22
-37.6,145.15,20
-37.5853,143.8395,4
-37.5774,144.7261,18
-37.5662,143.8496,10
-37.55,143.8333,9
-37.5499,175.9175,1
-37.5115,145.1184,1
-37.4886,144.5942,2
-37.4667,-61.9167,8
-37.4658,143.8528,13
-37.4333,143.6667,4
-37.4162,144.9786,9
-37.4039,175.9432,1
-37.3909,174.871,1
-37.3865,175.8446,2
-37.3735,175.6712,1
-37.3547,144.529,1
-37.3167,-59.15,8
-37.1974,175.869,1
-37.1735,174.8913,1
-37.1167,-56.8333,2
-37.0632,149.904,1
-37.0234,174.8856,2
-37.0182,174.9102,1
-36.9667,140.2333,1
-36.9559,174.8184,23
-36.9444,174.8441,1
-36.941,174.8483,1
-36.9213,174.7393,2
-36.9177,174.8356,54
-36.9158,174.6921,42
-36.9155,174.7991,10
-36.9125,174.7335,13
-36.9121,174.8708,1
-36.9104,174.8925,2
-36.9042,174.6474,2
-36.9,-60.2833,8
-36.8989,174.5918,2
-36.895,174.8001,27
-36.8917,174.8071,21
-36.8877,174.7529,95
-36.8873,174.8528,7
-36.8872,174.7709,45
-36.8844,174.7238,33
-36.8801,174.7495,20
-36.8768,174.8042,358
-36.8731,174.7773,1
-36.8667,174.7667,972
-36.8654,174.7378,1
-36.863,174.7432,73
-36.8585,174.7053,12
-36.857,174.7914,16
-36.8565,174.8482,15
-36.8546,174.5839,7
-36.8531,174.6466,3
-36.85,174.765,286
-36.8478,174.7577,11
-36.8447,174.7336,2
-36.8333,143.1333,9
-36.8058,174.7083,64
-36.7833,-59.85,2
-36.7833,144.3,5
-36.7753,174.7199,2
-36.7726,144.2527,1
-36.7443,174.6947,38
-36.6333,174.7667,1
-36.6232,174.7063,1
-36.6167,-64.2833,5
-36.6061,175.4532,1
-36.3585,146.3206,37
-36.3249,174.7381,1
-36.25,-61.1,2
-36.2178,150.1325,1
-36.0748,146.924,5
-35.8833,174.4,3
-35.749,174.327,6
-35.693,174.3001,187
-35.6392,-59.7789,2
-35.6147,174.4391,1
-35.5833,138.6,7
-35.573,-58.0081,2
-35.5274,144.9596,1
-35.4593,149.1042,1
-35.4444,-60.8831,2
-35.4404,149.1071,15
-35.4279,149.1138,15
-35.4183,149.0666,31
-35.4125,149.1283,1
-35.405,149.1166,2
-35.3867,174.0249,1
-35.3862,149.058,1
-35.3549,149.232,69
-35.3422,149.2101,52
-35.3333,149.1667,15
-35.3246,149.0776,61
-35.3126,149.1278,7
-35.3049,149.1412,1
-35.2835,149.1281,6
-35.2783,138.458,1
-35.276,149.1344,18
-35.2708,149.1357,3
-35.2621,173.9724,1
-35.2513,149.0636,3
-35.2189,138.5433,5
-35.2109,149.096,5
-35.2098,149.011,7
-35.2002,149.0341,2
-35.194,149.0198,2
-35.1873,149.0965,2
-35.1833,138.5,4
-35.167,149.0947,179
